Team,Historical_Seasons,Newly_Promoted
Arsenal,10,False
Aston Villa,7,False
Bournemouth,8,False
Brentford,5,False
Brighton,9,False
Burnley,8,False
Cardiff,1,False
Chelsea,10,False
Coventry,0,True
Crystal Palace,10,False
Everton,10,False
Fulham,6,False
Huddersfield,2,False
Hull,1,False
Ipswich,1,False
Leeds,4,False
Leicester,8,False
Liverpool,10,False
Luton,1,False
Man City,10,False
Man United,10,False
Middlesbrough,1,False
Newcastle,9,False
Norwich,2,False
Nott'm Forest,4,False
Sheffield United,3,False
Southampton,8,False
Stoke,2,False
Sunderland,2,False
Swansea,2,False
Tottenham,10,False
Watford,5,False
West Brom,3,False
West Ham,10,False
Wolves,8,False
