Team,Matches_Played,Points,Predicted_Points_Per_Match,Predicted_Season_Points,Performance_Target,Historical_Seasons,Total_Performance_Impact,Gap_to_Top_6,Gap_to_Top_5,Gap_to_Champion,Shots_On_Target_Per_Match_Current,Shot_Conversion_Percentage_Current,Fouls_Per_Match_Current,Yellow_Cards_Per_Match_Current,Red_Cards_Per_Match_Current,xG_Difference_Per_Match_Current,Shots_On_Target_Per_Match_Historical,Shot_Conversion_Percentage_Historical,Fouls_Per_Match_Historical,Yellow_Cards_Per_Match_Historical,Red_Cards_Per_Match_Historical,xG_Difference_Per_Match_Historical,Shots_On_Target_Per_Match_Difference,Shot_Conversion_Percentage_Difference,Fouls_Per_Match_Difference,Yellow_Cards_Per_Match_Difference,Red_Cards_Per_Match_Difference,xG_Difference_Per_Match_Difference,Biggest_Positive_Factor,Positive_Impact,Biggest_Negative_Factor,Negative_Impact,Recommendation
Arsenal,4,12,2.2601573523663228,85.88597938992027,Top 5 Contender,10.0,0.4447943248419806,0.0,0.0,6.114020610079734,5.5,14.814814814814811,10.0,1.5,0.0,1.2239932718221098,5.023684210526316,13.195494564491025,10.2,1.6236842105263158,0.0763157894736841,0.5974473684210526,0.4763157894736842,1.6193202503237885,-0.1999999999999993,-0.1236842105263158,-0.0763157894736841,0.6265459034010572,xG_Difference_Per_Match,0.2836963538164757,Yellow_Cards_Per_Match,-0.0006638121574215,Reduce disciplinary issues and avoid unnecessary yellow cards.
Man City,4,12,2.0828970454570443,79.15008772736769,Top 5 Contender,10.0,-0.2545166252657417,0.0,0.0,12.84991227263231,5.25,15.384615384615383,9.75,1.5,0.25,1.078393945004791,6.2973684210526315,13.809501844714038,8.939473684210526,1.418421052631579,0.0499999999999999,1.3715,-1.0473684210526315,1.5751135399013467,0.810526315789474,0.0815789473684209,0.2,-0.2931060549952089,Shot_Conversion_Percentage,0.0801810400993713,xG_Difference_Per_Match,-0.1327167229604327,Improve the balance between chance creation and chance prevention - either create higher-quality chances or tighten up defensively.
Leeds,4,8,1.7360635389465746,65.97041447996983,Top 6 Contender,4.0,0.5437688775563978,0.0,1.0295855200301671,26.029585520030167,4.0,14.583333333333334,10.75,1.25,0.0,0.3786247249227019,4.269736842105263,10.277703780178552,11.513157894736842,2.0197368421052633,0.0526315789473684,-0.2777631578947369,-0.2697368421052628,4.305629553154782,-0.7631578947368425,-0.7697368421052633,-0.0526315789473684,0.6563878828174388,xG_Difference_Per_Match,0.2972086291424138,Shots_On_Target_Per_Match,-0.018976899117837,Improve attacking accuracy and create more shots on target.
Hull,4,8,1.3842093036658123,52.59995353930087,Below Historical Qualification Targets,1.0,0.6460209207631421,10.40004646069913,14.40004646069913,39.40004646069913,3.75,12.82051282051282,10.0,3.25,0.0,-0.2351730816299093,3.3421052631578947,9.343434343434344,10.605263157894736,1.763157894736842,0.131578947368421,-0.998157894736842,0.4078947368421053,3.477078477078475,-0.6052631578947363,1.486842105263158,-0.131578947368421,0.7629848131069327,xG_Difference_Per_Match,0.3454751013785284,,0.0,Maintain current performance across the modelled metrics.
Brighton,4,7,2.0482835943989346,77.83477658715951,Top 5 Contender,9.0,0.7478032567361937,0.0,0.0,14.16522341284049,6.0,16.666666666666664,13.0,2.0,0.0,0.664444445399567,4.2953216374269,9.794460993323344,11.146198830409356,1.7309941520467835,0.0643274853801169,0.0039181286549707,1.7046783625731,6.872205673343322,1.853801169590643,0.2690058479532164,-0.0643274853801169,0.6605263167445963,Shot_Conversion_Percentage,0.3498291295876866,Fouls_Per_Match,-0.0560106639083457,Reduce unnecessary fouls and improve defensive discipline.
Chelsea,4,7,1.8847598315499512,71.62087359889816,Top 5 Contender,10.0,0.1292667108592786,0.0,0.0,20.379126401101843,6.0,16.666666666666664,9.0,2.25,0.0,0.0334263681434099,5.315789473684211,11.356326881389167,10.6,1.844736842105263,0.0605263157894736,0.6325000000000001,0.6842105263157894,5.310339785277495,-1.5999999999999996,0.405263157894737,-0.0605263157894736,-0.5990736318565901,Shot_Conversion_Percentage,0.2703224602407328,xG_Difference_Per_Match,-0.2712570684809324,Improve the balance between chance creation and chance prevention - either create higher-quality chances or tighten up defensively.
Brentford,4,6,1.401076372477375,53.24090215414024,Below Historical Qualification Targets,5.0,-0.2009312630643132,9.759097845859756,13.759097845859756,38.75909784585976,4.25,10.294117647058822,15.5,2.25,0.0,0.3872732268646357,4.310526315789474,13.170971414113788,9.56842105263158,1.763157894736842,0.0368421052631578,0.1505789473684211,-0.0605263157894739,-2.876853767054966,5.93157894736842,0.4868421052631579,-0.0368421052631578,0.2366942794962146,xG_Difference_Per_Match,0.1071737979576431,Fouls_Per_Match,-0.1792164555275555,Reduce unnecessary fouls and improve defensive discipline.
Liverpool,4,6,1.4289883530776968,54.30155741695248,Below Historical Qualification Targets,10.0,-0.6319561085401317,8.698442583047523,12.698442583047523,37.69844258304752,5.25,9.375,13.0,2.5,0.0,0.2270891570951789,6.028947368421052,12.659229514289011,10.068421052631578,1.331578947368421,0.0394736842105263,0.9961842105263156,-0.7789473684210524,-3.284229514289013,2.931578947368422,1.168421052631579,-0.0394736842105263,-0.7690950534311367,Red_Cards_Per_Match,0.0205744066048438,xG_Difference_Per_Match,-0.3482417827844868,Improve the balance between chance creation and chance prevention - either create higher-quality chances or tighten up defensively.
Everton,4,6,1.372241399563627,52.14517318341781,Below Historical Qualification Targets,10.0,0.1334614108036453,10.85482681658219,14.85482681658219,39.85482681658219,5.25,8.47457627118644,8.5,1.75,0.0,-0.0883930164854973,4.03421052631579,10.388596689127269,11.221052631578948,1.8210526315789473,0.0789473684210526,-0.1378157894736842,1.21578947368421,-1.9140204179408276,-2.7210526315789476,-0.0710526315789472,-0.0789473684210526,0.0494227729881868,Shots_On_Target_Per_Match,0.0855349013896653,Shot_Conversion_Percentage,-0.0974330700576296,Improve finishing efficiency and convert a higher proportion of shots into goals.
Ipswich,4,6,1.4373106825975568,54.61780593870716,Below Historical Qualification Targets,1.0,0.7705344576886027,8.382194061292843,12.382194061292845,37.38219406129284,4.75,15.555555555555555,11.5,1.75,0.0,-0.4628874254412947,3.3421052631578947,9.574468085106384,11.31578947368421,2.210526315789474,0.131578947368421,-1.1397368421052634,1.4078947368421053,5.981087470449172,0.1842105263157893,-0.4605263157894739,-0.131578947368421,0.6768494166639687,xG_Difference_Per_Match,0.3064734930801439,Fouls_Per_Match,-0.0055657284325327,Reduce unnecessary fouls and improve defensive discipline.
