Team,Total_Unavailable_Players,Key_Players_Unavailable,Total_Missing_Value,Snapshot_Date
Arsenal,9,1,534,2026-09-04
Aston Villa,10,0,531,2026-09-04
Bournemouth,6,0,313,2026-09-04
Brentford,4,0,204,2026-09-04
Brighton,14,1,738,2026-09-04
Chelsea,10,0,497,2026-09-04
Coventry,10,0,439,2026-09-04
Crystal Palace,8,0,411,2026-09-04
Everton,4,0,188,2026-09-04
Fulham,3,0,130,2026-09-04
Hull,15,1,655,2026-09-04
Ipswich,11,0,528,2026-09-04
Leeds,8,1,380,2026-09-04
Liverpool,11,0,548,2026-09-04
Man City,8,0,442,2026-09-04
Man United,9,0,437,2026-09-04
Newcastle,7,0,355,2026-09-04
Nott'm Forest,6,0,284,2026-09-04
Sunderland,6,0,269,2026-09-04
Tottenham,13,0,672,2026-09-04
Arsenal,9,1,534,2026-09-05
Aston Villa,10,0,531,2026-09-05
Bournemouth,6,0,313,2026-09-05
Brentford,5,1,259,2026-09-05
Brighton,13,1,683,2026-09-05
Chelsea,10,0,497,2026-09-05
Coventry,10,0,439,2026-09-05
Crystal Palace,8,0,411,2026-09-05
Everton,4,0,188,2026-09-05
Fulham,3,0,130,2026-09-05
Hull,15,1,655,2026-09-05
Ipswich,11,0,528,2026-09-05
Leeds,8,0,380,2026-09-05
Liverpool,11,0,548,2026-09-05
Man City,9,1,507,2026-09-05
Man United,9,0,437,2026-09-05
Newcastle,6,0,306,2026-09-05
Nott'm Forest,6,0,284,2026-09-05
Sunderland,6,0,268,2026-09-05
Tottenham,13,0,672,2026-09-05
Arsenal,9,1,534,2026-09-06
Aston Villa,10,0,531,2026-09-06
Bournemouth,6,0,313,2026-09-06
Brentford,5,1,259,2026-09-06
Brighton,13,1,683,2026-09-06
Chelsea,10,0,497,2026-09-06
Coventry,10,0,439,2026-09-06
Crystal Palace,8,0,411,2026-09-06
Everton,4,0,188,2026-09-06
Fulham,3,0,130,2026-09-06
Hull,15,1,655,2026-09-06
Ipswich,11,0,528,2026-09-06
Leeds,8,0,379,2026-09-06
Liverpool,11,0,548,2026-09-06
Man City,9,1,507,2026-09-06
Man United,9,0,437,2026-09-06
Newcastle,6,0,306,2026-09-06
Nott'm Forest,6,0,284,2026-09-06
Sunderland,6,0,268,2026-09-06
Tottenham,13,0,672,2026-09-06
Arsenal,8,1,464,2026-09-10
Aston Villa,12,1,636,2026-09-10
Bournemouth,6,0,312,2026-09-10
Brentford,5,1,259,2026-09-10
Brighton,14,1,732,2026-09-10
Chelsea,11,0,546,2026-09-10
Coventry,10,0,439,2026-09-10
Crystal Palace,9,0,460,2026-09-10
Everton,5,1,248,2026-09-10
Fulham,3,0,130,2026-09-10
Hull,14,0,625,2026-09-10
Ipswich,11,0,527,2026-09-10
Leeds,8,0,379,2026-09-10
Liverpool,12,1,619,2026-09-10
Man City,9,1,507,2026-09-10
Man United,8,0,383,2026-09-10
Newcastle,7,1,351,2026-09-10
Nott'm Forest,6,0,284,2026-09-10
Sunderland,7,0,317,2026-09-10
Tottenham,13,0,671,2026-09-10
Arsenal,8,1,453,2026-09-16
Aston Villa,12,3,608,2026-09-16
Bournemouth,6,0,311,2026-09-16
Brentford,6,1,301,2026-09-16
Brighton,13,0,674,2026-09-16
Chelsea,11,0,544,2026-09-16
Coventry,13,2,592,2026-09-16
Crystal Palace,13,1,657,2026-09-16
Everton,4,0,188,2026-09-16
Fulham,4,0,173,2026-09-16
Hull,16,1,715,2026-09-16
Ipswich,9,0,424,2026-09-16
Leeds,8,0,379,2026-09-16
Liverpool,11,0,546,2026-09-16
Man City,9,1,512,2026-09-16
Man United,10,1,470,2026-09-16
Newcastle,11,1,557,2026-09-16
Nott'm Forest,8,2,384,2026-09-16
Sunderland,8,1,362,2026-09-16
Tottenham,15,2,770,2026-09-16
