Snapshot_Date,Team,Player,Status,Chance_Of_Playing_Next_Round,News,Minutes_This_Season,Now_Cost,Is_Key_Player
2026-09-04,Arsenal,David Raya Martín,a,,,180,60,True
2026-09-04,Arsenal,Kepa Arrizabalaga Revuelta,a,,,0,50,False
2026-09-04,Arsenal,Illan Meslier,a,,,0,50,False
2026-09-04,Arsenal,Gabriel dos Santos Magalhães,a,,,180,80,True
2026-09-04,Arsenal,Jurriën Timber,d,25.0,Groin injury - 25% chance of playing,0,65,False
2026-09-04,Arsenal,William Saliba,i,0.0,Back injury - Unknown return date,0,60,False
2026-09-04,Arsenal,Myles Lewis-Skelly,a,,,160,55,True
2026-09-04,Arsenal,Riccardo Calafiori,a,,,170,57,True
2026-09-04,Arsenal,Piero Hincapié,a,,,9,54,False
2026-09-04,Arsenal,Benjamin White,a,100.0,,180,55,True
2026-09-04,Arsenal,Cristhian Mosquera,d,75.0,Unspecified injury - 75% chance of playing,168,55,True
2026-09-04,Arsenal,Bukayo Saka,a,,,157,95,True
2026-09-04,Arsenal,Declan Rice,a,,,151,75,True
2026-09-04,Arsenal,Eberechi Eze,a,,,59,64,False
2026-09-04,Arsenal,Martin Ødegaard,a,,,145,66,True
2026-09-04,Arsenal,Noni Madueke,a,,,22,63,False
2026-09-04,Arsenal,Mikel Merino Zazón,a,,,33,59,False
2026-09-04,Arsenal,Gabriel Martinelli Silva,u,0.0,Has joined Al Hilal permanently,0,63,False
2026-09-04,Arsenal,Martín Zubimendi Ibáñez,a,,,27,54,False
2026-09-04,Arsenal,Max Dowman,a,,,0,54,False
2026-09-04,Arsenal,Ethan Nwaneri,u,0.0,Has joined Borussia Dortmund on loan for the rest of the season,0,54,False
2026-09-04,Arsenal,Fábio Ferreira Vieira,u,0.0,Has joined Hamburger SV permanently,0,55,False
2026-09-04,Arsenal,Reiss Nelson,u,0.0,has departed the club as a free agent.,0,55,False
2026-09-04,Arsenal,Viktor Gyökeres,a,,,0,73,False
2026-09-04,Arsenal,Kai Havertz,a,,,180,75,True
2026-09-04,Arsenal,Gabriel Fernando de Jesus,u,0.0,Has joined FC Barcelona permanently,0,59,False
2026-09-04,Arsenal,Ezri Konsa Ngoyo,a,,,11,44,False
2026-09-04,Arsenal,Bruno Guimarães Rodriguez Moura,d,75.0,Knock - 75% chance of playing,19,68,False
2026-09-04,Arsenal,Christos Tzolis,a,,,120,65,True
2026-09-04,Aston Villa,Marco Bizot,a,,,90,45,False
2026-09-04,Aston Villa,Lucas Digne,u,0.0,Has joined Paris Saint-Germain permanently,0,45,False
2026-09-04,Aston Villa,Matty Cash,a,,,167,45,True
2026-09-04,Aston Villa,Tyrone Mings,a,,,16,45,False
2026-09-04,Aston Villa,Pau Torres,a,,,163,45,True
2026-09-04,Aston Villa,Lamare Bogarde,a,,,16,50,False
2026-09-04,Aston Villa,Ian Maatsen,a,,,171,45,True
2026-09-04,Aston Villa,Victor Lindelöf,a,,,180,45,True
2026-09-04,Aston Villa,Andrés García,a,,,0,40,False
2026-09-04,Aston Villa,Kosta Nedeljkovic,u,0.0,Has joined Rangers on loan for the rest of the season,0,40,False
2026-09-04,Aston Villa,Emiliano Buendía Stati,a,,,175,60,True
2026-09-04,Aston Villa,Leon Bailey,u,0.0,Has joined Olympiakos permanently,0,54,False
2026-09-04,Aston Villa,John McGinn,a,,,171,54,True
2026-09-04,Aston Villa,Ross Barkley,a,,,150,50,True
2026-09-04,Aston Villa,Boubacar Kamara,a,100.0,,180,50,True
2026-09-04,Aston Villa,Amadou Onana,i,0.0,Knee injury - Unknown return date,0,50,False
2026-09-04,Aston Villa,Samuel Iling-Junior,u,0.0,Has joined Bolton Wanderers on loan for the rest of the season,0,50,False
2026-09-04,Aston Villa,Bradley Burrowes,a,,,0,45,False
2026-09-04,Aston Villa,George Hemmings,a,,,160,45,True
2026-09-04,Aston Villa,Alysson Edward Franco da Rocha dos Santos,a,,,27,50,False
2026-09-04,Aston Villa,Johan Manzambi,i,0.0,Knee injury - Expected back 12 Sep,0,59,False
2026-09-04,Aston Villa,Joao Gomes,s,0.0,Suspended until 19 Sep,39,55,False
2026-09-04,Aston Villa,Ollie Watkins,u,0.0,Has joined Al Hilal permanently,0,78,False
2026-09-04,Aston Villa,Tammy Abraham,a,100.0,,19,55,False
2026-09-04,Aston Villa,Alejandro Garnacho Ferreyra,a,,,16,59,False
2026-09-04,Aston Villa,Nicolas Jackson,a,,,70,65,False
2026-09-04,Aston Villa,Brian Madjo,i,0.0,Unspecified injury - Unknown return date,0,55,False
2026-09-04,Aston Villa,Matteo Ruggeri,a,,,8,45,False
2026-09-04,Aston Villa,Zion Suzuki,a,,,90,50,False
2026-09-04,Aston Villa,Triston Rowe,a,,,0,40,False
2026-09-04,Aston Villa,Luka Lynch,u,0.0,Has joined Oxford United on loan until January,0,45,False
2026-09-04,Aston Villa,Aaron Wan-Bissaka,a,,,12,45,False
2026-09-04,Aston Villa,Leon Goretzka,a,,,0,60,False
2026-09-04,Aston Villa,Taylor Harwood-Bellis,a,,,0,45,False
2026-09-04,Aston Villa,Ibrahim Mbaye,a,,,0,60,False
2026-09-04,Bournemouth,Đorđe Petrović,a,,,180,45,True
2026-09-04,Bournemouth,Fraser Forster,a,,,0,40,False
2026-09-04,Bournemouth,Will Dennis,u,0.0,Has joined MK Dons permanently,0,40,False
2026-09-04,Bournemouth,James Hill,a,,,180,55,True
2026-09-04,Bournemouth,Adrien Truffert,a,,,180,55,True
2026-09-04,Bournemouth,Bafodé Diakité,a,,,0,50,False
2026-09-04,Bournemouth,Veljko Milosavljevic,i,0.0,Unspecified injury - Unknown return date,0,50,False
2026-09-04,Bournemouth,Adam Smith,a,,,180,45,True
2026-09-04,Bournemouth,Julián Araujo Zúñiga,i,0.0,Thigh injury - Unknown return date,0,45,False
2026-09-04,Bournemouth,Julio Soler Barreto,a,100.0,,0,40,False
2026-09-04,Bournemouth,Rayan Vitor Simplício Rocha,a,,,178,65,True
2026-09-04,Bournemouth,Marcus Tavernier,a,,,180,60,True
2026-09-04,Bournemouth,Alex Scott,a,,,176,60,True
2026-09-04,Bournemouth,Justin Kluivert,a,,,154,60,True
2026-09-04,Bournemouth,Lewis Cook,a,,,143,50,True
2026-09-04,Bournemouth,Ben Gannon-Doak,a,,,1,50,False
2026-09-04,Bournemouth,Tyler Adams,a,100.0,,36,50,False
2026-09-04,Bournemouth,David Brooks,a,100.0,,9,50,False
2026-09-04,Bournemouth,Ryan Christie,a,100.0,,3,50,False
2026-09-04,Bournemouth,Alex Tóth,a,,,15,50,False
2026-09-04,Bournemouth,Amine Adli,i,0.0,Unspecified injury - Unknown return date,0,49,False
2026-09-04,Bournemouth,Junior Kroupi,i,0.0,Foot injury - Unknown return date,0,74,False
2026-09-04,Bournemouth,Francisco Evanilson de Lima Barbosa,a,,,154,60,True
2026-09-04,Bournemouth,Enes Ünal,u,0.0,Has joined Getafe permanently,0,55,False
2026-09-04,Bournemouth,Álvaro Rodríguez,a,100.0,,9,60,False
2026-09-04,Bournemouth,António João Pereira de Albuquerque Tavares da Silva,a,,,180,50,True
2026-09-04,Bournemouth,Juanlu Sánchez,a,,,0,45,False
2026-09-04,Bournemouth,Daniel Jebbison,a,,,15,50,False
2026-09-04,Bournemouth,Michele Di Gregorio,a,,,0,45,False
2026-09-04,Brentford,Caoimhín Kelleher,a,,,180,50,True
2026-09-04,Brentford,Hákon Rafn Valdimarsson,a,,,0,45,False
2026-09-04,Brentford,Nathan Collins,a,,,180,55,True
2026-09-04,Brentford,Sepp van den Berg,i,0.0,Groin injury - Unknown return date,0,49,False
2026-09-04,Brentford,Keane Lewis-Potter,a,,,177,55,True
2026-09-04,Brentford,Kristoffer Ajer,a,,,180,45,True
2026-09-04,Brentford,Michael Kayode,a,,,162,46,True
2026-09-04,Brentford,Rico Henry,a,,,2,45,False
2026-09-04,Brentford,Aaron Hickey,a,,,16,45,False
2026-09-04,Brentford,Kim Ji-soo,a,,,0,45,False
2026-09-04,Brentford,Jannik Schuster,a,,,0,45,False
2026-09-04,Brentford,Kevin Schade,a,,,177,60,True
2026-09-04,Brentford,Dango Ouattara,a,,,95,65,False
2026-09-04,Brentford,Mikkel Damsgaard,a,,,82,55,False
2026-09-04,Brentford,Mathias Jensen,i,0.0,Unspecified injury - Expected back 18 Sep,66,55,False
2026-09-04,Brentford,Vitaly Janelt,a,,,180,50,True
2026-09-04,Brentford,Antoni Milambo,i,0.0,Knee injury - Unknown return date,0,50,False
2026-09-04,Brentford,Fábio Freitas Gouveia Carvalho,a,100.0,,0,50,False
2026-09-04,Brentford,Yehor Yarmoliuk,a,,,44,49,False
2026-09-04,Brentford,Josh Dasilva,i,0.0,Hamstring injury - Expected back 10 Oct,0,50,False
2026-09-04,Brentford,Jaidon Anthony,a,,,83,60,False
2026-09-04,Brentford,Igor Thiago Nascimento Rodrigues,a,,,172,80,True
2026-09-04,Brentford,Kaye Furo,a,,,0,45,False
2026-09-04,Brentford,Callum Wilson,a,,,9,55,False
2026-09-04,Brentford,Mamadou Sangaré,a,,,165,57,True
2026-09-04,Brentford,El Hadji Malick Diouf,a,,,0,45,False
2026-09-04,Brighton,Bart Verbruggen,a,,,180,45,True
2026-09-04,Brighton,Jason Steele,a,,,0,40,False
2026-09-04,Brighton,Ferdi Kadıoğlu,a,100.0,,90,44,False
2026-09-04,Brighton,Olivier Boscagli,a,,,180,45,True
2026-09-04,Brighton,Maxim De Cuyper,a,,,167,47,True
2026-09-04,Brighton,Lewis Dunk,a,,,180,45,True
2026-09-04,Brighton,Diego Coppola,a,,,0,45,False
2026-09-04,Brighton,Igor Julio dos Santos de Paulo,u,0.0,Has joined Burnley permanently,0,45,False
2026-09-04,Brighton,João Pedro Loureiro da Costa,a,,,36,45,False
2026-09-04,Brighton,Michael Svoboda,a,,,0,50,False
2026-09-04,Brighton,Mitoma Kaoru,i,0.0,Hamstring injury - Unknown return date,0,60,False
2026-09-04,Brighton,Yankuba Minteh,i,0.0,Leg injury - Expected back 28 Nov,0,59,False
2026-09-04,Brighton,Jack Hinshelwood,d,50.0,Unspecified injury - 50% chance of playing,63,60,False
2026-09-04,Brighton,Pascal Groß,a,,,180,55,True
2026-09-04,Brighton,Georginio Rutter,d,75.0,Unspecified injury - 75% chance of playing,90,55,False
2026-09-04,Brighton,Matt O'Riley,a,,,0,55,False
2026-09-04,Brighton,Diego Gómez Amarilla,a,,,175,50,True
2026-09-04,Brighton,Facundo Buonanotte,u,0.0,Has joined Elche on loan for the rest of the season,0,50,False
2026-09-04,Brighton,Yasin Ayari,d,75.0,Ankle injury - 75% chance of playing,63,54,False
2026-09-04,Brighton,Mats Wieffer,i,0.0,Knee injury - Unknown return date,156,50,True
