Season,Team,Matches_Played,Wins,Draws,Losses,Points,Goals_Scored,Goals_Conceded,Goal_Difference,Shots,Shots_On_Target,Fouls,Corners,Yellow_Cards,Red_Cards
2016/17,Chelsea,38,30,3,5,93,85,33,52,580,204,394,218,72,0
2016/17,Tottenham,38,26,8,4,86,86,26,60,669,257,432,273,62,0
2016/17,Man City,38,23,9,6,78,80,39,41,633,217,395,280,71,4
2016/17,Liverpool,38,22,10,6,76,78,42,36,638,236,397,249,54,0
2016/17,Arsenal,38,23,6,9,75,77,44,33,565,200,397,227,67,3
2016/17,Man United,38,18,15,5,69,54,29,25,589,210,497,217,76,2
2016/17,Everton,38,17,10,11,61,62,44,18,498,192,459,196,71,2
2016/17,Bournemouth,38,12,10,16,46,55,67,-12,446,160,366,191,51,3
2016/17,Southampton,38,12,10,16,46,41,48,-7,548,179,424,200,58,2
2016/17,West Brom,38,12,9,17,45,43,51,-8,400,123,449,158,80,0
2016/17,West Ham,38,12,9,17,45,47,64,-17,496,138,408,172,77,5
2016/17,Leicester,38,12,8,18,44,48,63,-15,432,145,451,197,71,1
2016/17,Stoke,38,11,11,16,44,41,56,-15,426,137,434,188,70,2
2016/17,Crystal Palace,38,12,5,21,41,50,63,-13,438,138,469,202,77,0
2016/17,Swansea,38,12,5,21,41,45,70,-25,390,146,401,196,56,0
2016/17,Burnley,38,11,7,20,40,39,55,-16,390,120,426,149,65,2
2016/17,Watford,38,11,7,20,40,40,68,-28,419,144,517,164,83,5
2016/17,Hull,38,9,7,22,34,37,80,-43,396,127,403,179,67,5
2016/17,Middlesbrough,38,5,13,20,28,27,53,-26,349,100,478,141,76,1
2016/17,Sunderland,38,6,6,26,24,29,69,-40,387,121,437,160,76,4
2017/18,Man City,38,32,4,2,100,106,27,79,664,261,344,284,58,2
2017/18,Man United,38,25,6,7,81,68,28,40,513,181,404,220,64,1
2017/18,Tottenham,38,23,8,7,77,74,36,38,622,217,384,246,49,2
2017/18,Liverpool,38,21,12,5,75,84,38,46,640,233,344,230,44,1
2017/18,Chelsea,38,21,7,10,70,62,38,24,606,220,363,230,41,4
2017/18,Arsenal,38,19,6,13,63,74,51,23,593,234,383,225,57,2
2017/18,Burnley,38,14,12,12,54,36,39,-3,379,127,350,167,65,0
2017/18,Everton,38,13,10,15,49,44,58,-14,360,122,459,150,51,3
2017/18,Leicester,38,12,11,15,47,56,60,-4,422,148,365,203,52,5
2017/18,Bournemouth,38,11,11,16,44,45,61,-16,467,158,339,218,55,1
2017/18,Crystal Palace,38,11,11,16,44,45,55,-10,475,151,425,209,71,0
2017/18,Newcastle,38,12,8,18,44,39,47,-8,449,150,409,167,52,2
2017/18,West Ham,38,10,12,16,42,48,68,-20,373,133,379,161,72,2
2017/18,Watford,38,11,8,19,41,44,64,-20,440,132,441,184,63,4
2017/18,Brighton,38,9,13,16,40,34,54,-20,383,118,413,163,54,2
2017/18,Huddersfield,38,9,10,19,37,28,58,-30,360,111,396,165,61,3
2017/18,Southampton,38,7,15,16,36,37,56,-19,451,145,416,227,63,2
2017/18,Stoke,38,7,12,19,33,35,68,-33,382,131,436,136,62,1
2017/18,Swansea,38,8,9,21,33,28,56,-28,336,104,377,150,51,1
2017/18,West Brom,38,6,13,19,31,31,56,-25,375,114,440,176,72,1
2018/19,Man City,38,32,2,4,98,95,23,72,683,260,328,287,44,1
2018/19,Liverpool,38,30,7,1,97,89,22,67,574,226,315,249,37,2
2018/19,Chelsea,38,21,9,8,72,63,39,24,606,198,339,215,49,0
2018/19,Tottenham,38,23,2,13,71,67,39,28,536,189,375,194,56,3
2018/19,Arsenal,38,21,7,10,70,73,51,22,466,170,412,212,72,2
2018/19,Man United,38,19,9,10,66,65,54,11,526,225,433,200,73,4
2018/19,Wolves,38,16,9,13,57,47,46,1,474,151,409,195,72,1
2018/19,Everton,38,15,9,14,54,54,46,8,495,169,432,215,55,4
2018/19,Leicester,38,15,7,16,52,51,48,3,515,184,351,210,57,5
2018/19,West Ham,38,15,7,16,52,52,55,-3,441,157,331,187,59,1
2018/19,Watford,38,14,8,16,50,52,59,-7,434,151,433,177,77,4
2018/19,Crystal Palace,38,14,7,17,49,51,53,-2,491,146,386,205,58,2
2018/19,Bournemouth,38,13,6,19,45,56,70,-14,447,163,339,191,60,1
2018/19,Newcastle,38,12,9,17,45,42,48,-6,444,142,422,181,57,2
2018/19,Burnley,38,11,7,20,40,45,68,-23,359,115,359,140,75,1
2018/19,Southampton,38,9,12,17,39,45,65,-20,480,162,420,193,71,3
2018/19,Brighton,38,9,9,20,36,35,60,-25,365,108,463,156,60,4
2018/19,Cardiff,38,10,4,24,34,34,69,-35,417,126,384,168,65,1
2018/19,Fulham,38,7,5,26,26,34,81,-47,453,149,423,161,68,2
2018/19,Huddersfield,38,3,7,28,16,22,76,-54,400,118,420,162,55,4
2019/20,Liverpool,38,32,3,3,99,85,33,52,590,231,331,258,38,1
2019/20,Man City,38,26,3,9,81,102,35,67,745,263,361,298,60,4
2019/20,Chelsea,38,20,6,12,66,69,54,15,625,223,386,247,60,0
2019/20,Man United,38,18,12,8,66,66,36,30,543,216,433,204,72,0
2019/20,Leicester,38,18,8,12,62,67,41,26,537,190,418,222,41,3
