Team,Pct_Shots_Head,Pct_Shots_LeftFoot,Pct_Shots_OtherBodyPart,Pct_Shots_RightFoot,Pct_Shots_DirectFreekick,Pct_Shots_FromCorner,Pct_Shots_OpenPlay,Pct_Shots_Penalty,Pct_Shots_SetPiece,Avg_Shot_Distance_M,Avg_Shot_Angle_Degrees,Pct_Shots_Inside_Box
Arsenal,7.4,55.6,0.0,37.0,3.7,14.8,74.1,1.9,5.6,16.74,26.36,50.0
Aston Villa,17.6,44.1,2.9,35.3,2.9,14.7,73.5,0.0,8.8,20.16,25.67,41.18
Bournemouth,15.3,47.5,1.7,35.6,3.4,10.2,79.7,0.0,6.8,17.64,26.96,49.15
Brentford,35.3,19.1,0.0,45.6,1.5,23.5,66.2,1.5,7.4,15.21,29.83,67.65
Brighton,14.1,10.3,0.0,75.6,0.0,6.4,80.8,1.3,11.5,18.09,25.99,48.72
Chelsea,4.9,45.9,0.0,49.2,6.6,13.1,77.0,0.0,3.3,19.57,22.56,42.62
Coventry,36.6,31.7,0.0,31.7,0.0,14.6,75.6,0.0,9.8,16.56,28.77,60.98
Crystal Palace,14.6,39.0,0.0,46.3,2.4,4.9,87.8,0.0,4.9,16.93,24.0,60.98
Everton,18.6,30.5,0.0,50.8,1.7,15.3,71.2,0.0,11.9,18.05,23.52,45.76
Fulham,11.7,23.3,0.0,65.0,0.0,16.7,81.7,0.0,1.7,16.14,27.23,58.33
Hull,15.8,44.7,0.0,39.5,0.0,15.8,78.9,0.0,5.3,20.69,24.46,36.84
Ipswich,17.4,23.9,2.2,56.5,0.0,8.7,89.1,0.0,2.2,19.38,25.73,50.0
Leeds,16.7,27.1,0.0,56.2,6.2,14.6,79.2,0.0,0.0,16.61,28.69,52.08
Liverpool,14.1,28.1,0.0,57.8,6.2,15.6,71.9,1.6,4.7,18.84,25.99,46.88
Man City,17.0,54.7,3.8,24.5,0.0,22.6,67.9,0.0,9.4,16.68,28.43,64.15
Man United,14.3,26.2,0.0,59.5,3.6,11.9,81.0,1.2,2.4,19.72,23.61,40.48
Newcastle,9.8,29.3,0.0,61.0,4.9,9.8,78.0,0.0,7.3,22.68,21.94,41.46
Nott'm Forest,19.0,22.4,1.7,56.9,3.4,10.3,75.9,1.7,8.6,17.88,26.6,51.72
Sunderland,16.3,14.3,2.0,67.3,6.1,16.3,63.3,4.1,10.2,18.0,24.44,53.06
Tottenham,11.5,28.8,0.0,59.6,5.8,17.3,73.1,0.0,3.8,19.82,21.31,36.54
